YEAR,COUNTRY,LOCATION,LATITUDE,LONGITUDE,WAVE_HEIGHT,FATALITIES,DAMAGE_USD_MILLIONS
1908,ITALY,CALABERNARDO,36.867,15.133,10.0,,
1908,ITALY,MILAZZO,38.217,15.233,1.0,,
1908,ITALY,TERMINI IMERESE,37.983,13.7,1.0,,
1908,ITALY,REGGIO CALABRIA,38.1,15.65,9.7,,
1908,ITALY,VILLA SAN GIOVANNI,38.217,15.633,5.0,,
1908,ITALY,SCILLA,38.25,15.717,1.0,,
1908,ITALY,CAPO D'ARMI,38.0,15.7,4.0,,
1908,ITALY,ROCCELLA IONICA,38.317,16.4,7.0,,
1908,ITALY,CIRO MARINA,39.367,17.133,6.0,,
1908,MALTA,SLIEMA,35.913,14.502,1.4,,
1908,MALTA,"XLENDI, GOZO ISLAND",36.03,14.218,6.0,,
1908,MALTA,MIGGIARRO,36.025,14.296,1.0,,
1908,MALTA,MARSALFORNO,36.071,14.259,0.7,,
1908,ITALY,SIRACUSA,37.067,15.3,2.0,,
1908,ITALY,PELLARO,38.017,15.65,13.0,,
1908,ITALY,S. TECLA,37.65,15.183,5.7,,
1908,MALTA,BIRZEBBUGIA,35.825,14.528,1.5,,
1908,ITALY,PORTO EMPEDOCLE,37.29,13.53,0.5,,
1908,ITALY,GALLICO,38.167,15.65,5.0,112.0,
1908,ITALY,PALERMO,38.117,13.37,0.19,,
1908,ITALY,"CATANIA, SICILY",37.5,15.1,2.7,3.0,
1908,MALTA,LA VALLETTA,35.9,14.515,0.45,,
1908,ITALY,ROCCALUMERA,37.967,15.4,8.0,2.0,
1908,ITALY,PARADISO,38.22694,15.56889,3.7,,
1908,ITALY,ACI CASTELLO,37.55583333,15.14861111,3.5,,
1908,ITALY,CAPO MULINI,37.57583333,15.17111111,4.9,,
1908,ITALY,POZZILLO,37.66055556,15.19666667,4.8,,
1908,ITALY,ARCHIRAFI,37.7,15.2,5.7,,
1908,ITALY,FONDACHELLO,37.75861111,15.21472222,5.6,,
1908,ITALY,GURNA,37.78611111,15.23472222,5.6,,
1908,ITALY,S. TERESA,37.94083333,15.36388889,6.1,,
1908,ITALY,BUCALO,37.94944444,15.37277778,6.1,,
1908,ITALY,ITALA,38.03722222,15.45388889,7.9,,
1908,ITALY,GUIDOMANDRI,38.04194444,15.45916667,6.4,,
1908,ITALY,FORTINO,38.26111111,15.6325,2.8,,
1908,ITALY,TORRE FARO,38.26305556,15.64083333,0.8,,
1908,ITALY,COZZO SPANDARO,36.69638889,15.1275,1.5,,
1908,ITALY,MARZAMEMI,36.73777778,15.11666667,1.0,,
1908,ITALY,AVOLA,36.91055556,15.15083333,1.3,,
1908,ITALY,STAZZO,37.65222222,15.195,4.3,,
1908,ITALY,GUMA,37.78611111,15.23472222,5.6,,
1908,ITALY,ISOLABELLA,37.8425,15.28,4.0,,
1908,ITALY,PORTO SALVO,37.91861111,15.345,6.0,,
1908,ITALY,BRUCOLI,37.28444,15.18806,4.3,3.0,
1908,ITALY,LAZZARO,37.967,15.667,10.5,90.0,
1908,ITALY,GALATI MARINA,38.1,15.5,8.0,14.0,
1908,ITALY,MAZZARA,38.11667,13.36667,0.91,,
1908,ITALY,CAGLIARI,39.21,9.1,0.18,,
1908,TUNISIA,BISERTA,37.27,9.87,0.2,,
1908,ITALY,NAPOLI MANDRACCHIO,40.83,14.25,0.12,,
1908,ITALY,LIVORNO,43.55,10.31,0.11,,
1908,ITALY,CAPO PASSERO,36.68611111,15.13833333,1.5,,
1908,ITALY,S. PANAGIA,37.10694444,15.27777778,1.0,,
1908,ITALY,GIAMPILERI MARINA,38.065,15.4814,7.2,,
1908,ITALY,NIZZA DI SICILLA,37.983,15.417,9.2,,
1908,ITALY,"MESSINA, SICILY",38.18,15.561,3.0,2.0,
1908,ITALY,ACI TREZZA,37.564,15.161,7.1,1.0,
1908,ITALY,GIARDINI NAXOS,37.8275,15.26917,9.5,2.0,
1908,ITALY,PACE,38.23722,15.57694,4.7,3.0,
1908,ITALY,BRIGA MARINA,38.0775,15.49389,8.5,46.0,
1908,ITALY,TORRE ARCHIRAFI,37.717,15.233,5.7,10.0,
1908,ITALY,SCALETTA ZANCLEA,38.05,15.467,8.0,,
1908,ITALY,FURCI,37.95,15.383,8.0,,
1908,ITALY,LETOIANNI,37.883,15.317,5.0,,
1909,COOK ISLANDS,RAROTONGA,-21.18,-159.77,3.0,,
1909,JAPAN,LAKE BIWA,35.033,135.883,1.8,,
1910,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.3,,
1911,PHILIPPINES,"BALETE, LUZON ISLAND",14.0186,121.0983,3.0,4.0,
1913,NEW ZEALAND,NGAKAWAU,-41.617,171.883,1.5,,
1913,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1913,USA,"SANTA BARBARA, CA",34.42,-119.68,4.5,,
1914,JAPAN,KAGOSHIMA,31.583,130.567,3.0,,
1914,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1914,GREECE,"NYDRI, LEVKAS ISLAND, IONIAN IS",38.7,20.578,3.0,,
1915,USA TERRITORY,"MANU'A ISLANDS, AMERICAN SAMOA",-14.18,-169.66,2.4,3.0,
1915,INDONESIA,KAIMANA,-3.644,133.695,0.5,,
1915,GREECE,"KEFALLONIA ISLAND, IONIAN ISLANDS",38.46,20.58,1.5,,
1915,GREECE,"LEVKAS ISLAND, IONIAN ISLANDS",38.7,20.578,1.5,,
1915,JAPAN,ARAHAMA VILLAGE,38.05,140.917,0.9,,
1915,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.06,,
1915,JAPAN,SHIZUGAWA BAY,38.6667,141.446,1.0,,
1916,PAPUA NEW GUINEA,"RABAUL, NEW BRITAIN",-4.22,152.18,4.5,,
1916,PANAMA,ISLA COLON,9.4,-82.283,0.5,,
1916,PANAMA,ISLA DE CARENERO,9.333,-82.233,1.2,,
1916,PANAMA,CAREENING CAY,9.333,-81.75,1.3,,
1916,PANAMA,BOCAS DEL TORO,9.333,-82.25,0.6,,
1916,ITALY,"SAN BARTOLO, STROMBOLI ISLAND",38.806,15.235,10.0,,
1917,PHILIPPINES,GLAN,5.817,125.183,1.5,,
1917,INDONESIA,SAMBERGELAP ISLANDS,-3.667,116.6,1.5,,
1917,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.1,,
1917,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.06,,
1917,USA,"SAN DIEGO, CA",32.715,-117.174,0.1,,
1917,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.3,,
1917,TAIWAN,KEELUNG,25.15,121.75,0.5,,
1917,TONGA,HAAPAI,-19.78,-174.34,4.2,,
1917,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.05,,
1917,USA TERRITORY,"PAGO PAGO, AMERICAN SAMOA",-14.2766,-170.689,2.4,,
1917,TONGA,NIUATOPUTAPU,-15.95,-173.78,2.74,,
1917,SAMOA,"ALEIPATA COAST, UPOLU ISLAND",-14.01,-171.43,3.0,,
1917,SAMOA,UPOLU ISLAND,-14.0,-171.8,3.1,,
1917,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.04,,
1917,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1917,SAMOA,"APIA, UPOLU ISLAND",-13.8268,-171.7613,0.4,,
1917,PAPUA NEW GUINEA,AITAPE,-3.142,142.35,0.9,,
1917,FRENCH POLYNESIA,MAUPIHAA ATOLL,-16.787,-153.974,1.9,,
1917,CANADA,"HALIFAX, NOVA SCOTIA",44.633,-63.583,7.0,,
1918,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.08,,
1918,INDONESIA,"MANADO, SULAWESI ISLAND",1.495,124.84,1.0,,
1918,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1918,JAPAN,HOSOSHIMA,32.433,131.667,0.07,,
1918,JAPAN,KUSHIMOTO,33.467,135.783,0.2,,
1918,PHILIPPINES,"LEBAC, MINDANAO ISLAND",6.6333,124.0667,2.5,6.0,
1918,PHILIPPINES,"GLAN, MINDANAO ISLAND",5.817,125.183,5.5,,
1918,JAPAN,HOSOSHIMA,32.433,131.667,0.15,,
1918,JAPAN,KII-KUSHIMOTO,34.2,136.33,0.32,,
1918,JAPAN,NEMUROKO,43.35,145.583,1.0,,
1918,SAMOA,"APIA, UPOLU ISLAND",-13.83,-171.767,0.2,,
1918,RUSSIA,"OPASNAIA BAY, URUP I,  KURILSKIYE",45.91486,150.135,12.0,23.0,
1918,USA,"CRAIG, AK",55.46,-133.13,0.03,,
1918,RUSSIA,"CHERNYE, URUP I, KURILSKIYE",46.53,150.88,1.5,,
1918,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.03,,
1918,USA,"HILO, HAWAII, HI",19.7303,-155.0553,1.5,,
1918,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.3,,
1918,JAPAN,AYUKAWA,38.3,141.5,0.45,,
1918,JAPAN,HANASAKI,43.2781,145.5678,0.55,,
1918,JAPAN,"FUTAMI BAY, CHICHIJIMA ISLAND",27.0939,142.195,3.0,,
1918,JAPAN,CHOSHI,35.75,140.867,0.5,,
1918,JAPAN,HAKODATE,41.783,140.733,0.5,,
1918,JAPAN,HANASAKI,43.283,145.567,1.1,,
1918,DOMINICAN REPUBLIC,SANTO DOMINGO,18.47,-69.95,0.7,,
1918,USA TERRITORY,CAJA DE MUERTOS,17.867,-66.533,1.5,,
1918,BRITISH VIRGIN ISLANDS (UK TERRITORY),TORTOLA ISLAND,18.667,-64.65,0.7,,
1918,USA TERRITORY,ST. THOMAS:  KRUM BAY,18.329,-64.961,1.2,,
1918,USA TERRITORY,ST. THOMAS:  CHARLOTTE AMALIE,18.333,-64.917,0.45,,
1918,USA TERRITORY,RIO GRANDE DE LOIZA,18.45,-65.883,1.0,,
1918,USA TERRITORY,RIO CULEBRINAS,18.4,-67.183,4.0,,
1918,USA TERRITORY,PUNTA HIGUERO,18.367,-67.267,5.5,,
1918,USA TERRITORY,PUNTA BORINQUEN,18.484,-67.169,4.5,,
1918,USA TERRITORY,ARECIBO,18.448,-66.733,0.6,,
1918,USA TERRITORY,ISLA MONA,18.08,-67.9,4.0,,
1918,USA TERRITORY,GUANICA,17.983,-66.917,0.5,,
1918,USA TERRITORY,BAHIA DE BOQUERON,18.463,-66.084,1.1,,
1918,USA TERRITORY,CAYO CARDONA,17.959,-66.365,0.75,,
1918,USA,"ATLANTIC CITY, NJ",39.364,-74.423,0.06,,
1918,USA TERRITORY,ISABELA,18.5,-67.033,2.0,,
1918,USA TERRITORY,AGUADILLA,18.45,-67.133,3.4,32.0,
1918,USA TERRITORY,PUNTA AGUJEREADA,18.51,-67.167,6.0,8.0,
1918,USA TERRITORY,MAYAGUEZ,18.201066,-67.153,1.5,100.0,
1918,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.04,,
1918,JAPAN,CHICHIJIMA ISLAND,27.0939,142.1947,0.5,,
1918,USA,"SAN DIEGO, CA",32.715,-117.174,0.1,,
1918,USA,"SAN DIEGO, CA",32.715,-117.174,0.07,,
1918,CHILE,CALDERA,-27.067,-70.833,5.0,,
1918,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.07,,
1919,JAPAN,ABURATSUBO,35.167,139.617,0.04,,
1919,JAPAN,KUSHIMOTO,33.467,135.783,0.44,,
1919,JAPAN,HOSOSHIMA,32.433,131.667,0.13,,
1919,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.08,,
1919,USA,"PUNALUU, HAWAII, HI",19.139,-155.507,0.9,,
1919,USA,"HILO, HAWAII, HI",19.7303,-155.0553,0.6,,
1919,USA,"SAN DIEGO, CA",32.715,-117.174,0.03,,
1919,USA TERRITORY,"PAGO PAGO, AMERICAN SAMOA",-14.2766,-170.689,2.4,,
1919,TONGA,HA'APAI,-19.78,-174.34,2.5,,
1919,SAMOA,"APIA, UPOLU ISLAND",-13.8268,-171.7613,0.4,,
1919,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.1,,
1919,PAPUA NEW GUINEA,"RABAUL, NEW BRITAIN",-4.22,152.18,2.5,,
1919,ITALY,"MESSINA, SICILY",38.198,15.56666,0.75,,
1919,ITALY,"FARO LIGHTHOUSE, MESSINA, SICILY",38.267,15.65,0.01,,
1919,USA,"KAILUA, HAWAII, HI",19.64,-156.0,0.9,,
1919,USA,"KEAUHOU, HAWAII, HI",19.57,-155.95,2.4,,
1919,USA,"HOOPULOA, HAWAII, HI",19.2,-155.9,4.3,,
1920,INDONESIA,"DONGALA, SULAWESI",-0.65,119.68,2.0,,
1920,CHILE,TALCAHUANO,-36.683,-73.1,1.4,,
1920,NORWAY,BERGEN,60.383,5.333,0.4,,
1920,NORWAY,NORDFJORDEID,61.9,6.02,0.15,,
1920,NORWAY,ROMARHEIM,60.73,5.65,0.2,,
1920,NORWAY,SKJELJANGER FYR,60.6,4.95,0.75,,
1921,INDONESIA,SEKURAH,1.494,109.213,1.0,,
1921,INDONESIA,"TJILATJAP, SUMATRA",-7.733,109.02,0.1,,
1922,USA,"GALVESTON, TX",29.3,-94.783,0.64,,
1922,CHILE,COQUIMBO,-29.95,-71.3353,7.0,200.0,
1922,CHILE,CALDERA,-27.067,-70.833,7.0,,
1922,USA TERRITORY,"PAGO PAGO, AMERICAN SAMOA",-14.2766,-170.689,0.9,,
1922,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.18,,
1922,USA,"SAN DIEGO, CA",32.715,-117.174,0.2,,
1922,NEW ZEALAND,PORT CHALMERS,-45.82,170.65,0.18,,
1922,PERU,CALLAO,-12.05,-77.15,2.4,,
1922,PHILIPPINES,ZAMBOANGA,6.91,122.074,0.1,,
1922,TAIWAN,KEELUNG,25.15,121.75,0.03,,
1922,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.14,,
1922,JAPAN,HOSOSHIMA,32.433,131.667,0.2,,
1922,JAPAN,AYUKAWA,38.3,141.5,0.3,,
1922,TAIWAN,TAKAO,22.63,120.27,0.03,,
1922,NEW ZEALAND,TIMARU,-44.392,171.254,0.18,,
1922,JAPAN,KUSHIMOTO,33.467,135.783,0.3,,
1922,AUSTRALIA,SYDNEY,-33.85,151.233,0.2,,
1922,CHILE,CHANARAL,-26.38,-70.67,9.0,,
1922,USA,"HILO, HAWAII, HI",19.7303,-155.0553,2.1,,
1922,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.3,,
1922,JAPAN,ABURATSUBO,35.167,139.617,0.03,,
1922,JAPAN,HANASAKI,43.2781,145.5678,0.3,,
1922,NEW ZEALAND,LEITHFIELD BEACH,-43.22,174.78,0.4,,
1923,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.03,,
1923,USA,"HILO, HAWAII, HI",19.733,-155.067,6.1,1.0,
1923,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.14,,
1923,RUSSIA,"SEMJACHIK, KAMCHATKA",54.117,159.983,6.0,,
1923,RUSSIA,KOLYGIR BAY,53.42,159.85,8.0,,
1923,JAPAN,KUSHIMOTO,33.467,135.783,0.5,,
1923,JAPAN,HOSOSHIMA,32.433,131.667,0.2,,
1923,USA,"KAHULUI, MAUI, HI",20.895,-156.477,3.5,,
1923,USA,"SAN DIEGO, CA",32.715,-117.174,0.2,,
1923,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.1,,
1923,USA,"HALEIWA, OAHU, HI",21.593,-158.1055,3.7,,
1923,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.9,,
1923,JAPAN,AYUKAWA,38.3,141.5,0.33,,
1923,JAPAN,HANASAKI,43.2781,145.5678,0.23,,
1923,CHILE,CONSTITUCION,-35.333,-72.417,1.5,,
1923,CHILE,SAN FELIX ISLANDS,-26.29,-80.1,35.0,,
1923,JAPAN,HANASAKI,43.283,145.567,0.07,,
1923,JAPAN,AYUKAWA,38.3,141.5,0.17,,
1923,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.2,,
1923,USA,"HILO, HAWAII, HI",19.7303,-155.0553,0.3,,
1923,RUSSIA,"BERING ISLAND, COMMANDER ISLANDS",55.0,166.2,4.0,,
1923,RUSSIA,"UST'KAMCHATSK, KAMCHATKA",56.237,162.519,20.0,18.0,
1923,USA,"SAN DIEGO, CA",32.715,-117.174,0.1,,
1923,USA,"SAN FRANCISCO, CA",37.807,-122.465,0.15,,
1923,CANADA,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,0.08,,
1923,JAPAN,AYUKAWA,38.3,141.5,0.15,,
1923,JAPAN,AJIRO,35.04,139.07,7.2,,
1923,JAPAN,ARAI,34.68,137.56,3.0,,
1923,JAPAN,ATAMI,35.089,139.069,12.0,60.0,
1923,JAPAN,AYUKAWA,38.3,141.5,0.2,,
1923,JAPAN,CHIKURA,34.95,139.56,2.0,,
1923,JAPAN,FUJIWARA,35.06,139.03,7.2,,
1923,JAPAN,FUNABASHI,35.693,139.983,0.5,,
1923,JAPAN,GOFUKUBASHI,35.683,139.767,0.52,,
1923,JAPAN,ITO,34.97,139.07,9.0,,
1923,JAPAN,IWAI,36.333,140.583,3.0,,
1923,JAPAN,KAMOGAWA,35.1,140.1,1.5,,
1923,JAPAN,KANAYA,34.82,138.14,1.0,,
1923,JAPAN,KATASE,35.309,139.483,1.5,50.0,
1923,JAPAN,KATSUURA,35.133,140.25,1.2,,
1923,JAPAN,KATSUYAMA,36.08,136.49,2.2,,
1923,JAPAN,KAWANA,34.88,139.08,6.0,,
1923,JAPAN,KISARAZU,35.39,139.94,1.8,,
1923,JAPAN,KOURA,34.667,134.667,2.1,,
1923,JAPAN,KOMINATO,35.15,140.18,1.8,,
1923,JAPAN,KUGENUMA,35.2,139.28,6.0,,
1923,JAPAN,KUSHIMOTO,33.467,135.783,0.48,,
1923,JAPAN,KUSUMI,34.97,139.12,9.0,,
1923,JAPAN,MAKUCHI,35.39,140.03,4.5,,
1923,JAPAN,MERA,34.917,139.817,6.0,,
1923,JAPAN,MIURA,35.14,139.619,3.0,,
1923,JAPAN,MINATO,34.63,138.91,2.0,,
1923,JAPAN,MISAKI,35.66,139.55,3.0,,
1923,JAPAN,MITAKA,35.66,139.55,4.5,,
1923,JAPAN,NIEMONIJIMA,35.0775,140.10419,2.0,,
1923,JAPAN,OISO,35.31,139.41,1.8,,
1923,JAPAN,OKADA,34.783,139.383,12.0,14.0,
1923,JAPAN,OKAWA,34.833,139.067,4.1,,
1923,JAPAN,ONAHAMA,36.933,140.9,0.18,,
1923,JAPAN,OSAKA,34.667,135.5,0.33,,
1923,JAPAN,OSHIMA ISLAND,34.75,139.416,13.0,,
1923,JAPAN,OWASE,34.083,136.2,0.54,,
1923,JAPAN,SAME (AOMORI PREFECTURE),36.9,140.82,0.4,,
1923,JAPAN,SHIMOTAGA NIIKAMA,35.046089,139.073589,7.2,,
1923,JAPAN,SHIRAHAMA,34.697,138.974,3.0,,
1923,JAPAN,SIBAURA,35.633,139.75,0.79,,
1923,JAPAN,KAMAKURA,35.309,139.55,6.0,150.0,
1923,JAPAN,URATO,38.317,141.05,0.21,,
1923,JAPAN,HARAOKA,35.05,139.833,1.3,,
1923,JAPAN,AINOHAMA,34.917,139.817,10.3,,
1923,JAPAN,ABURATSUBO,35.158,139.62,1.8,,
1923,JAPAN,KAWAUCHI,34.096,134.58,0.5,,
1923,JAPAN,KOAJIRO,35.156,139.633,1.8,,
1923,JAPAN,MATSUBE,35.146,140.291,1.5,,
1923,JAPAN,MUYA (NARUTO),34.183,134.617,0.6,,
1923,JAPAN,OITA,33.267,131.683,0.6,,
1923,JAPAN,OTSU,35.26,139.694,1.2,,
1923,JAPAN,NORTH COAST SAGAMI BAY,35.32,139.35,9.0,,
1923,JAPAN,SHIRAHAMA,34.906,139.9,1.5,,
1923,JAPAN,SUZAKI,34.65,138.967,8.1,,
1923,JAPAN,FUTO,34.908,139.13,0.6,,
1923,JAPAN,INATORI,34.77,139.0414,6.0,,
1923,USA,"HONOLULU, OAHU, HI",21.3067,-157.867,0.03,,
1923,JAPAN,NAGAI,35.209,139.614,1.2,,
1923,JAPAN,AKIYA,35.237,139.602,3.0,,
1923,JAPAN,HORIUCHI,35.276,139.572,3.0,,
1923,JAPAN,SHIMODA,34.667,138.95,2.5,,
1923,JAPAN,CHOSHI,35.75,140.867,0.3,,
1923,JAPAN,NOJIMA,34.8,139.88,1.5,,
1923,JAPAN,HAYAMA,35.267,139.567,5.0,,
1923,JAPAN,HONJO,39.42,140.06,0.27,,
1923,JAPAN,HOSOSHIMA,32.433,131.667,0.32,,
1923,JAPAN,HOTA,35.133,139.85,3.0,,
1923,JAPAN,IMAM'URA,35.11,139.1,6.0,,
1923,NEW ZEALAND,WELLINGTON: LAMBTON HARBOUR,-41.29,174.78,0.1,,
1923,JAPAN,HATSUSHIMA ISLAND,35.04,139.17,1.8,,
1923,JAPAN,SOTOURA,34.67,138.98,6.0,,
1923,JAPAN,TSURUSHIMA,31.917,131.417,0.15,,
